dia,mag
2156.89973,13.389
2161.86670,13.388
2173.87993,13.103
2186.81692,13.455
2192.84923,13.393
2201.83569,13.470
2214.81724,13.076
2221.76014,13.416
2224.77284,13.078
2227.67546,13.274
2229.68893,12.978
2230.83309,13.030
2232.85270,13.418
2234.84745,13.244
2237.76791,13.367
2241.69318,13.422
2243.74700,13.291
2247.82887,13.433
2248.83149,13.354
2250.81888,13.141
2252.67856,13.354
2254.66962,13.101
2257.67630,13.362
2260.68302,12.954
2264.68839,13.204
2266.67450,13.413
2270.68220,13.033
2271.82256,13.132
2272.83051,12.859
2274.67217,13.239
2276.77813,13.034
2277.83142,12.911
2279.84903,13.421
2280.82257,13.357
2282.71945,13.478
2288.78081,13.515
2290.81808,13.405
2292.79113,12.916
2294.76744,13.444
2296.78308,13.198
2298.73978,13.502
2300.75028,13.377
2302.72695,12.812
2323.60335,13.470
2333.59882,13.462
2345.53630,13.264
2351.51443,13.114
2369.51289,13.397
2385.49765,13.374
2529.84322,13.329
2539.84565,13.411
2545.81488,13.187
2552.86886,12.813
2556.86022,13.141
2560.76930,13.205
2564.87687,13.458
2573.87327,12.789
2578.79762,13.429
2583.85202,12.890
2590.75854,13.345
2596.77115,13.247
2605.80110,13.391
2609.77052,13.461
2614.72878,13.478
2618.78375,13.032
2621.70884,13.295
2624.61480,13.396
2627.71307,13.168
2629.73603,13.278
2632.66197,13.113
2635.70921,13.410
2638.68018,12.946
2640.77707,13.498
2642.73355,13.303
2644.73626,12.844
2646.69022,13.399
2650.74604,13.515
2652.80794,13.416
2654.76860,13.044
2656.67402,13.428
2658.63577,13.017
2660.65409,13.459
2662.66505,13.327
2664.64510,12.734
2666.70849,13.462
2668.69461,13.222
2670.65673,13.540
2672.79550,13.464
2674.69625,13.046
2676.68537,13.460
2678.73862,13.373
2680.64937,13.313
2682.69568,13.446
2687.57551,13.338
2693.53472,13.092
2696.57146,13.443
2701.55311,13.441
2707.55983,13.379
2714.54700,13.064
2839.92365,13.423
